High,Low,Open,Close/Last,Range,Change(%)
1.0,0.9618620379801972,1.0000000000000002,0.9851079772724821,0.49642959810325127,0.5708677597925709
0.9650268204261743,0.9757865097248375,0.9869683822052588,0.9798519692510053,0.16697631642378358,0.48710793719235146
0.9622053444005185,0.9638512482294316,0.9460598500557875,0.9873990576921003,0.2390091285824298,0.5153290373635526
0.9255917717885208,0.9375113607912943,0.9338343117122674,0.9411731409903936,0.1587185955316379,0.39731905177583987
0.9498039730319386,0.957609243654248,0.9699063671544121,0.953504544425397,0.18621150854499094,0.5270135702513188
0.9744754843260447,0.9951298645622196,0.9885133678200992,0.9857144397364987,0.10359975933173587,0.571770240740757
0.9766408031364318,0.9975306355526748,0.998119147947151,0.9824125885435199,0.10118336734703987,0.49140628477387865
0.9787405062252917,0.9982851635782465,0.982736465086348,0.9960243016247803,0.11325225583722623,0.5286480579422252
0.9734912485031415,0.98154836010193,0.9954993897306824,0.9756067320028894,0.18549918557829656,0.4542833253300358
0.9795278948836144,1.0,0.9961039493190982,0.9915769102219922,0.10512255594234182,0.5340891811904549
0.9740161742753566,0.9993826588881688,0.9801167068698794,0.9999999999999999,0.07316003476012156,0.5170448717070631
0.9580059382227984,0.9705048135458361,0.9570762692224761,0.9779651971407317,0.159702928064121,0.4509583537246751
0.9178497728055645,0.938746043014957,0.9200637877539067,0.9395559077530161,0.09517174186652055,0.4136453418538768
0.9085972999130594,0.9266735946058107,0.9184516288514646,0.9135454065185282,0.11262938876450415,0.43874231378521034
0.8977707058611245,0.9198142489187957,0.9015911336634229,0.909165399833964,0.08319276542332632,0.48828152329524876
0.8997391775069309,0.9029443741361514,0.9210713870679331,0.8913758342228115,0.2155353457986406,0.45631417067887853
0.9175866537622417,0.9351791832577092,0.9341030048626744,0.9356812864551326,0.11612988092565152,0.6062103002265848
0.9302491757024985,0.9495152157435705,0.9391074147890055,0.9485854599950405,0.10752561900835345,0.528504244086774
0.9360246715112942,0.9574034632836376,0.9573449623728831,0.943666375564684,0.09173611087130984,0.48743351348522085
0.9425206279424552,0.9625479725488988,0.943440091839319,0.9505396168235383,0.10536050494706994,0.5144207040179293
